ui,35,2965
bieeen,53,1947
toto,24,1485
okk:(,30,937
bob,16,780
ooooooo,15,653
  y,11,254
testrafiko,8,37
yuyuyuyuyu,19,0
error,9,-11
eroor,22,-11
gigi,18,-181
hui,21,-587
hey,41,-8919
hey yo ,38,-141507
