bob,16,780
ui,35,2965
toto,24,1485
error,9,-11
eroor,22,-11
bieeen,53,1947
okk:(,30,937
gigi,18,-181
  y,11,254
hey,41,-8919
hey yo ,38,-141507
ooooooo,15,653
testrafiko,8,37
hui,21,-587
yuyuyuyuyu,19,0
k,12,-6854
  p,11,-21260
p,8,-3724
  raf,18,846
p,14,-21837
 ui,8,73
ppppppppppppppppppppp,25,99
vnhnhnhnhgjghhryhrytj,9,91
,8,74
